CBSA Title, Population , Clinton , Trump , Vote Difference C-T , Obama 2012 , Romney 2012 , Vote Difference O-R ,Clinton B(W) Obama,Trump B(W) Romney, Land Area Sq Mi , Density/Sq Mi 
"Guymon, OK Total"," 21,489 ", 858 ," 4,621 "," (3,763)", 854 ," 4,908 "," (4,054)", 4 , (287)," 2,041 ", 11 
"Jamestown, ND Total"," 21,103 "," 2,498 "," 6,718 "," (4,220)"," 3,561 "," 5,641 "," (2,080)"," (1,063)"," 1,077 "," 2,222 ", 9 
"Evanston, WY Total"," 20,822 "," 1,202 "," 6,154 "," (4,952)"," 1,628 "," 6,613 "," (4,985)", (426), (459)," 2,081 ", 10 
"Parsons, KS Total"," 20,803 "," 2,234 "," 5,232 "," (2,998)"," 3,074 "," 4,668 "," (1,594)", (840), 564 , 645 , 32 
"Carroll, IA Total"," 20,498 "," 3,309 "," 6,638 "," (3,329)"," 4,912 "," 5,577 ", (665)," (1,603)"," 1,061 ", 569 , 36 
"Storm Lake, IA Total"," 20,493 "," 2,856 "," 4,903 "," (2,047)"," 3,683 "," 4,548 ", (865), (827), 355 , 575 , 36 
"Price, UT Total"," 20,479 "," 1,717 "," 5,275 "," (3,558)"," 2,204 "," 4,834 "," (2,630)", (487), 441 ," 1,478 ", 14 
"West Point, MS Total"," 20,048 "," 5,722 "," 4,150 "," 1,572 "," 5,860 "," 3,735 "," 2,125 ", (138), 415 , 410 , 49 
"Fairmont, MN Total"," 20,022 "," 2,733 "," 7,062 "," (4,329)"," 4,054 "," 6,657 "," (2,603)"," (1,321)", 405 , 712 , 28 
"Helena-West Helena, AR Total"," 19,513 "," 4,310 "," 2,446 "," 1,864 "," 5,179 "," 2,591 "," 2,588 ", (869), (145), 696 , 28 
"Ruidoso, NM Total"," 19,420 "," 2,331 "," 5,896 "," (3,565)"," 2,931 "," 5,940 "," (3,009)", (600), (44)," 4,831 ", 4 
"Othello, WA Total"," 19,254 "," 1,299 "," 3,083 "," (1,784)"," 1,516 "," 3,111 "," (1,595)", (217), (28)," 1,925 ", 10 
"Portales, NM Total"," 19,120 "," 1,454 "," 3,884 "," (2,430)"," 1,719 "," 4,032 "," (2,313)", (265), (148)," 2,447 ", 8 
"Hereford, TX Total"," 18,952 "," 1,185 "," 2,911 "," (1,726)"," 1,239 "," 3,042 "," (1,803)", (54), (131)," 1,497 ", 13 
"Huron, SD Total"," 18,372 "," 1,912 "," 4,455 "," (2,543)"," 2,881 "," 4,230 "," (1,349)", (969), 225 ," 1,259 ", 15 
"Andrews, TX Total"," 18,105 ", 836 ," 3,927 "," (3,091)", 794 ," 3,636 "," (2,842)", 42 , 291 ," 1,501 ", 12 
"Brownsville, TN Total"," 18,023 "," 3,711 "," 3,013 ", 698 ," 4,567 "," 2,960 "," 1,607 ", (856), 53 , 533 , 34 
"Los Alamos, NM Total"," 17,785 "," 5,562 "," 3,359 "," 2,203 "," 5,191 "," 4,796 ", 395 , 371 ," (1,437)", 109 , 163 
"Snyder, TX Total"," 17,615 ", 733 ," 4,410 "," (3,677)", 837 ," 4,121 "," (3,284)", (104), 289 , 905 , 19 
"Fairfield, IA Total"," 17,555 "," 3,710 "," 3,748 ", (38)," 4,772 "," 3,429 "," 1,343 "," (1,062)", 319 , 436 , 40 
"Fitzgerald, GA Total"," 17,403 "," 2,101 "," 3,739 "," (1,638)"," 2,508 "," 3,395 ", (887), (407), 344 , 250 , 70 
"Vineyard Haven, MA Total"," 17,299 "," 8,400 "," 2,477 "," 5,923 "," 7,955 "," 2,789 "," 5,166 ", 445 , (312), 103 , 168 
"Spirit Lake, IA Total"," 17,111 "," 3,056 "," 6,753 "," (3,697)"," 4,088 "," 5,911 "," (1,823)"," (1,032)", 842 , 381 , 45 
"Maysville, KY Total"," 17,099 "," 1,970 "," 4,944 "," (2,974)"," 2,592 "," 4,197 "," (1,605)", (622), 747 , 240 , 71 
"Winnemucca, NV Total"," 17,019 "," 1,386 "," 4,521 "," (3,135)"," 1,737 "," 3,810 "," (2,073)", (351), 711 ," 9,641 ", 2 
"Spencer, IA Total"," 16,507 "," 2,249 "," 5,877 "," (3,628)"," 3,363 "," 4,934 "," (1,571)"," (1,114)", 943 , 567 , 29 
"Atchison, KS Total"," 16,398 "," 1,946 "," 3,977 "," (2,031)"," 2,486 "," 3,836 "," (1,350)", (540), 141 , 431 , 38 
"Sweetwater, TX Total"," 15,107 "," 1,029 "," 3,552 "," (2,523)"," 1,216 "," 3,277 "," (2,061)", (187), 275 , 912 , 17 
"Pecos, TX Total"," 14,732 "," 1,659 "," 1,417 ", 242 ," 1,649 "," 1,185 ", 464 , 10 , 232 ," 2,635 ", 6 
"Zapata, TX Total"," 14,374 "," 2,063 "," 1,029 "," 1,034 "," 2,517 ", 993 ," 1,524 ", (454), 36 , 998 , 14 
"Vermillion, SD Total"," 13,964 "," 2,608 "," 2,109 ", 499 ," 2,955 "," 2,146 ", 809 , (347), (37), 412 , 34 
"Lamesa, TX Total"," 13,520 ", 835 ," 2,636 "," (1,801)"," 1,017 "," 2,591 "," (1,574)", (182), 45 , 900 , 15 
"Vernon, TX Total"," 13,027 ", 809 ," 3,166 "," (2,357)", 971 ," 2,956 "," (1,985)", (162), 210 , 971 , 13 
"Craig, CO Total"," 12,937 ", 874 ," 5,305 "," (4,431)"," 1,291 "," 4,616 "," (3,325)", (417), 689 ," 4,743 ", 3 
