CBSA Title, Population , Clinton , Trump , Vote Difference C-T , Obama 2012 , Romney 2012 , Vote Difference O-R ,Clinton B(W) Obama,Trump B(W) Romney, Land Area Sq Mi , Density/Sq Mi 
"Ogden-Clearfield, UT Total"," 642,850 "," 54,766 "," 117,872 "," (63,106)"," 40,202 "," 158,847 "," (118,645)"," 14,564 "," (40,975)"," 7,230 ", 89 
"Madison, WI Total"," 641,385 "," 247,016 "," 98,940 "," 148,076 "," 251,842 "," 108,623 "," 143,219 "," (4,826)"," (9,683)"," 3,309 ", 194 
"Springfield, MA Total"," 631,982 "," 167,957 "," 100,475 "," 67,482 "," 179,123 "," 93,684 "," 85,439 "," (11,166)"," 6,791 "," 1,144 ", 552 
"Deltona-Daytona Beach-Ormond Beach, FL Total"," 623,279 "," 131,117 "," 176,857 "," (45,740)"," 137,920 "," 144,439 "," (6,519)"," (6,803)"," 32,418 "," 1,586 ", 393 
"Des Moines-West Des Moines, IA Total"," 622,899 "," 150,326 "," 136,633 "," 13,693 "," 163,324 "," 137,637 "," 25,687 "," (12,998)"," (1,004)"," 2,884 ", 216 
"Toledo, OH Total"," 605,956 "," 144,220 "," 121,905 "," 22,315 "," 169,615 "," 108,618 "," 60,997 "," (25,395)"," 13,287 "," 1,364 ", 444 
"Augusta-Richmond County, GA-SC Total"," 590,146 "," 107,350 "," 133,095 "," (25,745)"," 108,829 "," 127,792 "," (18,963)"," (1,479)"," 5,303 "," 3,481 ", 170 
"Provo-Orem, UT Total"," 585,799 "," 28,964 "," 105,009 "," (76,045)"," 16,227 "," 145,737 "," (129,510)"," 12,737 "," (40,728)"," 5,396 ", 109 
"Jackson, MS Total"," 578,777 "," 118,031 "," 118,812 ", (781)," 123,803 "," 118,973 "," 4,830 "," (5,772)", (161)," 4,649 ", 124 
"Palm Bay-Melbourne-Titusville, FL Total"," 568,088 "," 119,679 "," 181,848 "," (62,169)"," 122,972 "," 159,270 "," (36,298)"," (3,293)"," 22,578 "," 1,016 ", 559 
"Harrisburg-Carlisle, PA Total"," 565,006 "," 116,423 "," 145,555 "," (29,132)"," 113,622 "," 133,714 "," (20,092)"," 2,801 "," 11,841 "," 1,622 ", 348 
"Scranton--Wilkes-Barre--Hazleton, PA Total"," 558,166 "," 108,245 "," 135,909 "," (27,664)"," 130,095 "," 98,888 "," 31,207 "," (21,850)"," 37,021 "," 1,747 ", 320 
"Durham-Chapel Hill, NC Total"," 552,493 "," 210,071 "," 75,197 "," 134,874 "," 189,225 "," 81,769 "," 107,456 "," 20,846 "," (6,572)"," 1,758 ", 314 
"Youngstown-Warren-Boardman, OH-PA Total"," 549,885 "," 119,128 "," 134,184 "," (15,056)"," 156,826 "," 103,551 "," 53,275 "," (37,698)"," 30,633 "," 1,703 ", 323 
"Spokane-Spokane Valley, WA Total"," 547,824 "," 101,468 "," 132,969 "," (31,501)"," 100,492 "," 119,533 "," (19,041)", 976 ," 13,436 "," 5,642 ", 97 
"Chattanooga, TN-GA Total"," 547,776 "," 69,152 "," 135,747 "," (66,595)"," 76,264 "," 128,237 "," (51,973)"," (7,112)"," 7,510 "," 2,089 ", 262 
"Modesto, CA Total"," 538,388 "," 81,647 "," 78,494 "," 3,153 "," 70,609 "," 69,549 "," 1,060 "," 11,038 "," 8,945 "," 1,495 ", 360 
"Lancaster, PA Total"," 536,624 "," 91,093 "," 137,914 "," (46,821)"," 87,108 "," 129,364 "," (42,256)"," 3,985 "," 8,550 ", 944 , 569 
"Portland-South Portland, ME Total"," 526,295 "," 169,489 "," 117,416 "," 52,073 "," 174,290 "," 109,316 "," 64,974 "," (4,801)"," 8,100 "," 2,080 ", 253 
"Fayetteville-Springdale-Rogers, AR-MO Total"," 513,559 "," 64,288 "," 113,874 "," (49,586)"," 54,299 "," 103,003 "," (48,704)"," 9,989 "," 10,871 "," 3,163 ", 162 
"Santa Rosa, CA Total"," 502,146 "," 160,435 "," 51,408 "," 109,027 "," 124,504 "," 45,666 "," 78,838 "," 35,931 "," 5,742 "," 1,576 ", 319 
"Lexington-Fayette, KY Total"," 500,535 "," 96,092 "," 111,396 "," (15,304)"," 88,797 "," 109,545 "," (20,748)"," 7,295 "," 1,851 "," 1,469 ", 341 
"Lafayette, LA Total"," 490,488 "," 62,185 "," 147,196 "," (85,011)"," 65,591 "," 140,372 "," (74,781)"," (3,406)"," 6,824 "," 3,409 ", 144 
"Pensacola-Ferry Pass-Brent, FL Total"," 478,043 "," 75,925 "," 154,147 "," (78,222)"," 75,911 "," 146,840 "," (70,929)", 14 ," 7,307 "," 1,668 ", 287 
"Lansing-East Lansing, MI Total"," 472,276 "," 120,540 "," 93,113 "," 27,427 "," 127,002 "," 92,188 "," 34,814 "," (6,462)", 925 ," 1,698 ", 278 
"Visalia-Porterville, CA Total"," 459,863 "," 47,585 "," 58,299 "," (10,714)"," 29,191 "," 42,186 "," (12,995)"," 18,394 "," 16,113 "," 4,824 ", 95 
"Springfield, MO Total"," 456,456 "," 58,316 "," 138,154 "," (79,838)"," 66,048 "," 129,197 "," (63,149)"," (7,732)"," 8,957 "," 3,007 ", 152 
"Port St. Lucie, FL Total"," 454,846 "," 97,066 "," 123,493 "," (26,427)"," 95,966 "," 104,382 "," (8,416)"," 1,100 "," 19,111 "," 1,115 ", 408 
"Corpus Christi, TX Total"," 452,422 "," 59,534 "," 71,536 "," (12,002)"," 56,223 "," 67,602 "," (11,379)"," 3,311 "," 3,934 "," 1,784 ", 254 
"Reno, NV Total"," 450,890 "," 98,131 "," 96,374 "," 1,757 "," 95,726 "," 89,472 "," 6,254 "," 2,405 "," 6,902 "," 6,565 ", 69 
"Asheville, NC Total"," 446,840 "," 109,678 "," 117,237 "," (7,559)"," 104,793 "," 108,221 "," (3,428)"," 4,885 "," 9,016 "," 2,033 ", 220 
"Santa Maria-Santa Barbara, CA Total"," 444,769 "," 107,142 "," 56,365 "," 50,777 "," 84,279 "," 59,096 "," 25,183 "," 22,863 "," (2,731)"," 2,735 ", 163 
"Huntsville, AL Total"," 444,752 "," 72,290 "," 118,587 "," (46,297)"," 71,611 "," 115,942 "," (44,331)", 679 ," 2,645 "," 1,362 ", 327 
"Shreveport-Bossier City, LA Total"," 443,708 "," 77,549 "," 104,090 "," (26,541)"," 83,188 "," 106,114 "," (22,926)"," (5,639)"," (2,024)"," 3,187 ", 139 
"York-Hanover, PA Total"," 442,867 "," 68,524 "," 128,528 "," (60,004)"," 72,126 "," 111,576 "," (39,450)"," (3,602)"," 16,952 ", 904 , 490 
"Vallejo-Fairfield, CA Total"," 436,092 "," 102,360 "," 51,920 "," 50,440 "," 87,225 "," 48,364 "," 38,861 "," 15,135 "," 3,556 ", 822 , 531 
"Salinas, CA Total"," 433,898 "," 89,088 "," 34,895 "," 54,193 "," 51,712 "," 25,087 "," 26,625 "," 37,376 "," 9,808 "," 3,281 ", 132 
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Total"," 431,964 "," 62,692 "," 132,008 "," (69,316)"," 58,552 "," 101,240 "," (42,688)"," 4,140 "," 30,768 "," 1,981 ", 218 
"Killeen-Temple, TX Total"," 431,032 "," 44,348 "," 70,608 "," (26,260)"," 41,913 "," 66,145 "," (24,232)"," 2,435 "," 4,463 "," 2,816 ", 153 
"Fort Wayne, IN Total"," 429,820 "," 61,347 "," 105,293 "," (43,946)"," 67,688 "," 103,890 "," (36,202)"," (6,341)"," 1,403 "," 1,361 ", 316 
"Brownsville-Harlingen, TX Total"," 422,156 "," 59,402 "," 29,472 "," 29,930 "," 49,159 "," 24,955 "," 24,204 "," 10,243 "," 4,517 ", 891 , 474 
"Mobile, AL Total"," 415,395 "," 72,186 "," 95,116 "," (22,930)"," 78,417 "," 94,566 "," (16,149)"," (6,231)", 550 ," 1,229 ", 338 
"Reading, PA Total"," 415,271 "," 78,437 "," 96,626 "," (18,189)"," 79,895 "," 80,857 ", (962)," (1,458)"," 15,769 ", 857 , 485 
"Flint, MI Total"," 410,849 "," 102,751 "," 84,175 "," 18,576 "," 128,972 "," 71,807 "," 57,165 "," (26,221)"," 12,368 ", 637 , 645 
"Salem, OR Total"," 410,091 "," 74,208 "," 82,317 "," (8,109)"," 70,098 "," 75,812 "," (5,714)"," 4,110 "," 6,505 "," 1,923 ", 213 
"Beaumont-Port Arthur, TX Total"," 408,419 "," 52,114 "," 92,269 "," (40,155)"," 56,502 "," 88,718 "," (32,216)"," (4,388)"," 3,551 "," 3,034 ", 135 
"Manchester-Nashua, NH Total"," 406,678 "," 99,589 "," 100,013 ", (424)," 101,499 "," 98,103 "," 3,396 "," (1,910)"," 1,910 ", 876 , 464 
"Canton-Massillon, OH Total"," 402,976 "," 71,300 "," 107,642 "," (36,342)"," 91,710 "," 94,135 "," (2,425)"," (20,410)"," 13,507 ", 970 , 415 
"Salisbury, MD-DE Total"," 395,300 "," 71,332 "," 107,360 "," (36,028)"," 71,771 "," 91,292 "," (19,521)", (439)," 16,068 "," 2,099 ", 188 
"Gulfport-Biloxi-Pascagoula, MS Total"," 389,255 "," 39,170 "," 87,794 "," (48,624)"," 41,573 "," 84,767 "," (43,194)"," (2,403)"," 3,027 "," 1,770 ", 220 
"Davenport-Moline-Rock Island, IA-IL Total"," 383,606 "," 84,680 "," 84,939 ", (259)," 106,481 "," 78,549 "," 27,932 "," (21,801)"," 6,390 "," 2,270 ", 169 
"Savannah, GA Total"," 379,199 "," 71,157 "," 74,091 "," (2,934)"," 68,713 "," 72,211 "," (3,498)"," 2,444 "," 1,880 "," 1,340 ", 283 
"Peoria, IL Total"," 378,018 "," 66,377 "," 93,110 "," (26,733)"," 73,546 "," 89,644 "," (16,098)"," (7,169)"," 3,466 "," 2,471 ", 153 
"Tallahassee, FL Total"," 377,924 "," 114,977 "," 74,991 "," 39,986 "," 115,749 "," 75,530 "," 40,219 ", (772), (539)," 2,388 ", 158 
"Fayetteville, NC Total"," 376,509 "," 81,331 "," 59,025 "," 22,306 "," 84,906 "," 56,912 "," 27,994 "," (3,575)"," 2,113 "," 1,043 ", 361 
"Montgomery, AL Total"," 373,792 "," 78,178 "," 81,560 "," (3,382)"," 84,034 "," 83,626 ", 408 ," (5,856)"," (2,066)"," 2,713 ", 138 
"Trenton, NJ Total"," 371,398 "," 104,775 "," 46,193 "," 58,582 "," 94,300 "," 43,155 "," 51,145 "," 10,475 "," 3,038 ", 225 ," 1,654 "
"Eugene, OR Total"," 362,895 "," 102,753 "," 67,141 "," 35,612 "," 99,891 "," 60,979 "," 38,912 "," 2,862 "," 6,162 "," 4,553 ", 80 
"Hickory-Lenoir-Morganton, NC Total"," 362,510 "," 44,659 "," 115,076 "," (70,417)"," 52,917 "," 101,771 "," (48,854)"," (8,258)"," 13,305 "," 1,637 ", 221 
"Huntington-Ashland, WV-KY-OH Total"," 361,580 "," 39,288 "," 97,923 "," (58,635)"," 51,954 "," 80,823 "," (28,869)"," (12,666)"," 17,100 "," 2,527 ", 143 
"Ann Arbor, MI Total"," 358,880 "," 128,483 "," 50,631 "," 77,852 "," 120,791 "," 56,401 "," 64,390 "," 7,692 "," (5,770)", 706 , 508 
"Naples-Immokalee-Marco Island, FL Total"," 357,305 "," 61,085 "," 105,423 "," (44,338)"," 51,678 "," 96,508 "," (44,830)"," 9,407 "," 8,915 "," 1,998 ", 179 
"Ocala, FL Total"," 343,254 "," 62,041 "," 107,833 "," (45,792)"," 66,823 "," 93,036 "," (26,213)"," (4,782)"," 14,797 "," 1,585 ", 217 
"Rockford, IL Total"," 340,663 "," 64,699 "," 67,906 "," (3,207)"," 70,202 "," 64,806 "," 5,396 "," (5,503)"," 3,100 ", 794 , 429 
"Kalamazoo-Portage, MI Total"," 335,340 "," 80,406 "," 68,924 "," 11,482 "," 85,333 "," 68,800 "," 16,533 "," (4,927)", 124 ," 1,169 ", 287 
"Fort Collins, CO Total"," 333,577 "," 93,113 "," 83,430 "," 9,683 "," 83,103 "," 74,603 "," 8,500 "," 10,010 "," 8,827 "," 2,596 ", 128 
"Spartanburg, SC Total"," 325,079 "," 44,726 "," 83,338 "," (38,612)"," 46,668 "," 72,517 "," (25,849)"," (1,942)"," 10,821 "," 1,322 ", 246 
"Lincoln, NE Total"," 323,578 "," 63,773 "," 67,042 "," (3,269)"," 62,332 "," 66,124 "," (3,792)"," 1,441 ", 918 ," 1,409 ", 230 
"South Bend-Mishawaka, IN-MI Total"," 320,098 "," 59,522 "," 66,264 "," (6,742)"," 66,045 "," 65,235 ", 810 ," (6,523)"," 1,029 ", 948 , 338 
"Boulder, CO Total"," 319,372 "," 132,334 "," 41,396 "," 90,938 "," 120,485 "," 48,526 "," 71,959 "," 11,849 "," (7,130)", 726 , 440 
"Green Bay, WI Total"," 316,519 "," 62,949 "," 87,173 "," (24,224)"," 76,394 "," 81,175 "," (4,781)"," (13,445)"," 5,998 "," 1,870 ", 169 
"Evansville, IN-KY Total"," 315,693 "," 47,844 "," 80,172 "," (32,328)"," 53,072 "," 72,577 "," (19,505)"," (5,228)"," 7,595 "," 1,465 ", 216 
"Roanoke, VA Total"," 314,560 "," 55,980 "," 87,507 "," (31,527)"," 61,885 "," 85,662 "," (23,777)"," (5,905)"," 1,845 "," 1,869 ", 168 
"Columbus, GA-AL Total"," 313,749 "," 55,323 "," 50,794 "," 4,529 "," 59,231 "," 49,401 "," 9,830 "," (3,908)"," 1,393 "," 1,936 ", 162 
"Lubbock, TX Total"," 311,154 "," 28,894 "," 68,378 "," (39,484)"," 27,191 "," 65,642 "," (38,451)"," 1,703 "," 2,736 "," 2,688 ", 116 
"Kingsport-Bristol-Bristol, TN-VA Total"," 307,120 "," 25,054 "," 96,086 "," (71,032)"," 32,347 "," 88,260 "," (55,913)"," (7,293)"," 7,826 "," 2,010 ", 153 
"Utica-Rome, NY Total"," 295,600 "," 41,826 "," 68,136 "," (26,310)"," 47,821 "," 54,028 "," (6,207)"," (5,995)"," 14,108 "," 2,624 ", 113 
"Greeley, CO Total"," 285,174 "," 46,519 "," 76,651 "," (30,132)"," 47,418 "," 62,350 "," (14,932)", (899)," 14,301 "," 3,987 ", 72 
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Total"," 281,401 "," 67,107 "," 56,164 "," 10,943 "," 57,655 "," 56,500 "," 1,155 "," 9,452 ", (336)," 3,299 ", 85 
"Clarksville, TN-KY Total"," 281,021 "," 30,474 "," 51,380 "," (20,906)"," 34,716 "," 48,154 "," (13,438)"," (4,242)"," 3,226 "," 1,698 ", 165 
"Fort Smith, AR-OK Total"," 280,241 "," 23,099 "," 70,063 "," (46,964)"," 26,806 "," 65,028 "," (38,222)"," (3,707)"," 5,035 "," 3,387 ", 83 
"Duluth, MN-WI Total"," 279,601 "," 77,588 "," 62,451 "," 15,137 "," 100,421 "," 53,959 "," 46,462 "," (22,833)"," 8,492 "," 8,413 ", 33 
"Kennewick-Richland, WA Total"," 279,116 "," 35,246 "," 60,400 "," (25,154)"," 34,722 "," 60,762 "," (26,040)", 524 , (362)," 2,943 ", 95 
"Erie, PA Total"," 278,045 "," 58,112 "," 60,069 "," (1,957)"," 65,136 "," 46,102 "," 19,034 "," (7,024)"," 13,967 ", 799 , 348 
"Wilmington, NC Total"," 277,969 "," 60,333 "," 72,983 "," (12,650)"," 57,493 "," 67,160 "," (9,667)"," 2,840 "," 5,823 "," 1,061 ", 262 
"Gainesville, FL Total"," 277,163 "," 77,278 "," 53,574 "," 23,704 "," 71,519 "," 54,682 "," 16,837 "," 5,759 "," (1,108)"," 1,225 ", 226 
"Atlantic City-Hammonton, NJ Total"," 274,219 "," 60,924 "," 52,690 "," 8,234 "," 59,509 "," 41,918 "," 17,591 "," 1,415 "," 10,772 ", 556 , 493 
"Santa Cruz-Watsonville, CA Total"," 274,146 "," 95,249 "," 22,438 "," 72,811 "," 61,106 "," 17,132 "," 43,974 "," 34,143 "," 5,306 ", 445 , 616 
"Norwich-New London, CT Total"," 271,863 "," 62,278 "," 54,058 "," 8,220 "," 66,510 "," 45,715 "," 20,795 "," (4,232)"," 8,343 ", 665 , 409 
"Laredo, TX Total"," 269,721 "," 42,307 "," 12,947 "," 29,360 "," 37,592 "," 11,074 "," 26,518 "," 4,715 "," 1,873 "," 3,361 ", 80 
"Olympia-Tumwater, WA Total"," 269,536 "," 68,798 "," 48,624 "," 20,174 "," 64,879 "," 43,703 "," 21,176 "," 3,919 "," 4,921 ", 722 , 373 
"Merced, CA Total"," 268,455 "," 37,317 "," 28,725 "," 8,592 "," 26,128 "," 23,403 "," 2,725 "," 11,189 "," 5,322 "," 1,935 ", 139 
"Cedar Rapids, IA Total"," 266,040 "," 67,400 "," 62,342 "," 5,058 "," 80,392 "," 59,074 "," 21,318 "," (12,992)"," 3,268 "," 2,009 ", 132 
"Waco, TX Total"," 262,813 "," 28,747 "," 51,701 "," (22,954)"," 27,721 "," 51,241 "," (23,520)"," 1,026 ", 460 ," 1,803 ", 146 
"Crestview-Fort Walton Beach-Destin, FL Total"," 262,172 "," 30,656 "," 97,649 "," (66,993)"," 30,055 "," 91,626 "," (61,571)", 601 ," 6,023 "," 1,968 ", 133 
"Amarillo, TX Total"," 262,056 "," 16,421 "," 67,486 "," (51,065)"," 15,128 "," 64,335 "," (49,207)"," 1,293 "," 3,151 "," 5,150 ", 51 
"Hagerstown-Martinsburg, MD-WV Total"," 261,486 "," 33,450 "," 69,242 "," (35,792)"," 37,404 "," 56,069 "," (18,665)"," (3,954)"," 13,173 ", 779 , 336 
"Bremerton-Silverdale, WA Total"," 260,131 "," 63,156 "," 49,018 "," 14,138 "," 59,701 "," 47,468 "," 12,233 "," 3,455 "," 1,550 ", 395 , 659 
"Lynchburg, VA Total"," 259,950 "," 38,304 "," 83,626 "," (45,322)"," 42,772 "," 80,925 "," (38,153)"," (4,468)"," 2,701 "," 2,113 ", 123 
"Sioux Falls, SD Total"," 251,854 "," 40,270 "," 62,273 "," (22,003)"," 44,966 "," 58,311 "," (13,345)"," (4,696)"," 3,962 "," 2,576 ", 98 
"College Station-Bryan, TX Total"," 249,156 "," 26,815 "," 48,722 "," (21,907)"," 21,937 "," 46,239 "," (24,302)"," 4,878 "," 2,483 "," 2,100 ", 119 
"Yakima, WA Total"," 248,830 "," 31,291 "," 41,735 "," (10,444)"," 25,945 "," 35,381 "," (9,436)"," 5,346 "," 6,354 "," 4,295 ", 58 
"Binghamton, NY Total"," 246,020 "," 46,738 "," 54,203 "," (7,465)"," 46,578 "," 46,156 ", 422 , 160 ," 8,047 "," 1,224 ", 201 
"Tuscaloosa, AL Total"," 239,908 "," 40,509 "," 56,352 "," (15,843)"," 41,852 "," 54,027 "," (12,175)"," (1,343)"," 2,325 "," 2,847 ", 84 
"Champaign-Urbana, IL Total"," 238,984 "," 54,196 "," 43,482 "," 10,714 "," 45,113 "," 44,723 ", 390 ," 9,083 "," (1,241)"," 1,921 ", 124 
"Fargo, ND-MN Total"," 233,836 "," 44,332 "," 53,359 "," (9,027)"," 49,842 "," 49,712 ", 130 ," (5,510)"," 3,647 "," 2,810 ", 83 
"Topeka, KS Total"," 233,791 "," 39,745 "," 51,420 "," (11,675)"," 43,848 "," 51,915 "," (8,067)"," (4,103)", (495)," 3,233 ", 72 
"Appleton, WI Total"," 233,007 "," 47,710 "," 65,246 "," (17,536)"," 57,042 "," 61,813 "," (4,771)"," (9,332)"," 3,433 ", 956 , 244 
"Macon-Bibb County, GA Total"," 230,096 "," 47,711 "," 46,850 ", 861 ," 50,557 "," 46,969 "," 3,588 "," (2,846)", (119)," 1,723 ", 134 
"Charlottesville, VA Total"," 229,514 "," 66,747 "," 43,293 "," 23,454 "," 63,066 "," 47,813 "," 15,253 "," 3,681 "," (4,520)"," 2,224 ", 103 
"Chico, CA Total"," 225,411 "," 41,567 "," 45,144 "," (3,577)"," 32,567 "," 35,312 "," (2,745)"," 9,000 "," 9,832 "," 1,636 ", 138 
"Tyler, TX Total"," 222,936 "," 22,300 "," 58,930 "," (36,630)"," 22,101 "," 61,858 "," (39,757)", 199 ," (2,928)", 921 , 242 
"Prescott, AZ Total"," 222,255 "," 35,590 "," 71,330 "," (35,740)"," 32,624 "," 62,385 "," (29,761)"," 2,966 "," 8,945 "," 8,124 ", 27 
"Charleston, WV Total"," 220,614 "," 30,621 "," 52,654 "," (22,033)"," 35,889 "," 48,408 "," (12,519)"," (5,268)"," 4,246 "," 1,745 ", 126 
"Longview, TX Total"," 217,781 "," 17,992 "," 56,648 "," (38,656)"," 19,740 "," 54,537 "," (34,797)"," (1,748)"," 2,111 "," 1,780 ", 122 
"Burlington-South Burlington, VT Total"," 217,042 "," 66,259 "," 28,840 "," 37,419 "," 68,203 "," 30,443 "," 37,760 "," (1,944)"," (1,603)"," 1,252 ", 173 
"Claremont-Lebanon, NH-VT Total"," 216,923 "," 63,817 "," 43,418 "," 20,399 "," 70,507 "," 40,647 "," 29,860 "," (6,690)"," 2,771 "," 3,902 ", 56 
"Lafayette-West Lafayette, IN Total"," 214,363 "," 30,034 "," 39,620 "," (9,586)"," 30,432 "," 36,030 "," (5,598)", (398)," 3,590 "," 1,278 ", 168 
"Barnstable Town, MA Total"," 214,333 "," 72,430 "," 54,099 "," 18,331 "," 70,329 "," 60,221 "," 10,108 "," 2,101 "," (6,122)", 394 , 544 
"Las Cruces, NM Total"," 214,295 "," 37,947 "," 25,374 "," 12,573 "," 36,778 "," 26,988 "," 9,790 "," 1,169 "," (1,614)"," 3,808 ", 56 
"Rochester, MN Total"," 213,873 "," 47,108 "," 55,455 "," (8,347)"," 54,953 "," 53,316 "," 1,637 "," (7,845)"," 2,139 "," 2,477 ", 86 
"Medford, OR Total"," 212,567 "," 44,447 "," 53,870 "," (9,423)"," 42,341 "," 46,974 "," (4,633)"," 2,106 "," 6,896 "," 2,784 ", 76 
"Houma-Thibodaux, LA Total"," 212,297 "," 19,088 "," 63,861 "," (44,773)"," 21,614 "," 57,832 "," (36,218)"," (2,526)"," 6,029 "," 2,300 ", 92 
"Bellingham, WA Total"," 212,284 "," 60,340 "," 40,599 "," 19,741 "," 49,743 "," 38,764 "," 10,979 "," 10,597 "," 1,835 "," 2,107 ", 101 
"Springfield, IL Total"," 211,156 "," 42,724 "," 54,175 "," (11,451)"," 44,056 "," 54,075 "," (10,019)"," (1,332)", 100 ," 1,183 ", 179 
"Hilton Head Island-Bluffton-Beaufort, SC Total"," 207,413 "," 38,094 "," 48,109 "," (10,015)"," 35,502 "," 46,749 "," (11,247)"," 2,592 "," 1,360 "," 1,232 ", 168 
"Florence, SC Total"," 206,448 "," 40,598 "," 44,562 "," (3,964)"," 43,960 "," 43,254 ", 706 ," (3,362)"," 1,308 "," 1,361 ", 152 
"Lake Charles, LA Total"," 205,605 "," 26,619 "," 57,447 "," (30,828)"," 28,765 "," 55,104 "," (26,339)"," (2,146)"," 2,343 "," 2,349 ", 88 
"Lake Havasu City-Kingman, AZ Total"," 204,737 "," 17,455 "," 58,282 "," (40,827)"," 18,324 "," 46,442 "," (28,118)", (869)," 11,840 "," 13,311 ", 15 
"Yuma, AZ Total"," 204,275 "," 24,605 "," 25,165 ", (560)," 14,025 "," 19,500 "," (5,475)"," 10,580 "," 5,665 "," 5,514 ", 37 
"Daphne-Fairhope-Foley, AL Total"," 203,709 "," 18,458 "," 72,883 "," (54,425)"," 18,329 "," 65,772 "," (47,443)", 129 ," 7,111 "," 1,590 ", 128 
"Elkhart-Goshen, IN Total"," 203,474 "," 20,740 "," 41,867 "," (21,127)"," 24,376 "," 42,348 "," (17,972)"," (3,636)", (481), 463 , 439 
"Athens-Clarke County, GA Total"," 203,189 "," 39,440 "," 39,968 ", (528)," 33,925 "," 38,717 "," (4,792)"," 5,515 "," 1,251 "," 1,025 ", 198 
"Johnson City, TN Total"," 200,648 "," 17,739 "," 56,821 "," (39,082)"," 21,013 "," 53,311 "," (32,298)"," (3,274)"," 3,510 ", 854 , 235 
"Panama City, FL Total"," 197,506 "," 23,517 "," 67,523 "," (44,006)"," 24,050 "," 61,858 "," (37,808)", (533)," 5,665 "," 1,322 ", 149 
"Hilo, HI Total"," 196,428 "," 41,259 "," 17,501 "," 23,758 "," 46,670 "," 14,541 "," 32,129 "," (5,411)"," 2,960 "," 4,028 ", 49 
"Racine, WI Total"," 195,080 "," 42,641 "," 46,681 "," (4,040)"," 52,887 "," 49,173 "," 3,714 "," (10,246)"," (2,492)", 333 , 587 
"St. Cloud, MN Total"," 194,418 "," 31,216 "," 60,489 "," (29,273)"," 41,725 "," 53,864 "," (12,139)"," (10,509)"," 6,625 "," 1,751 ", 111 
"Gainesville, GA Total"," 193,535 "," 16,180 "," 51,733 "," (35,553)"," 12,489 "," 45,918 "," (33,429)"," 3,691 "," 5,815 ", 393 , 493 
"Saginaw, MI Total"," 193,307 "," 44,396 "," 45,469 "," (1,073)"," 54,372 "," 42,716 "," 11,656 "," (9,976)"," 2,753 ", 800 , 242 
"Bloomington, IL Total"," 189,413 "," 38,106 "," 42,314 "," (4,208)"," 34,188 "," 44,214 "," (10,026)"," 3,918 "," (1,900)"," 1,581 ", 120 
"Warner Robins, GA Total"," 188,149 "," 28,757 "," 43,280 "," (14,523)"," 30,003 "," 42,355 "," (12,352)"," (1,246)", 925 , 775 , 243 
"Jacksonville, NC Total"," 186,311 "," 17,514 "," 37,122 "," (19,608)"," 18,115 "," 31,695 "," (13,580)", (601)," 5,427 ", 763 , 244 
"Torrington, CT Total"," 183,603 "," 39,775 "," 53,051 "," (13,276)"," 43,823 "," 47,207 "," (3,384)"," (4,048)"," 5,844 ", 921 , 199 
"Blacksburg-Christiansburg-Radford, VA Total"," 181,747 "," 31,368 "," 43,622 "," (12,254)"," 33,384 "," 40,774 "," (7,390)"," (2,016)"," 2,848 "," 1,453 ", 125 
"El Centro, CA Total"," 180,191 "," 32,667 "," 12,704 "," 19,963 "," 17,464 "," 9,545 "," 7,919 "," 15,203 "," 3,159 "," 4,177 ", 43 
"Kingston, NY Total"," 180,143 "," 42,101 "," 34,006 "," 8,095 "," 43,164 "," 27,340 "," 15,824 "," (1,063)"," 6,666 "," 1,124 ", 160 
"Redding, CA Total"," 179,533 "," 22,301 "," 51,778 "," (29,477)"," 18,184 "," 34,561 "," (16,377)"," 4,117 "," 17,217 "," 3,775 ", 48 
"Monroe, LA Total"," 179,238 "," 27,119 "," 49,706 "," (22,587)"," 29,704 "," 48,488 "," (18,784)"," (2,585)"," 1,218 "," 1,487 ", 121 
"Joplin, MO Total"," 177,211 "," 15,562 "," 55,623 "," (40,061)"," 19,233 "," 49,524 "," (30,291)"," (3,671)"," 6,099 "," 1,263 ", 140 
"Greenville, NC Total"," 175,842 "," 41,824 "," 35,691 "," 6,133 "," 40,701 "," 35,534 "," 5,167 "," 1,123 ", 157 , 652 , 270 
"Bend-Redmond, OR Total"," 175,268 "," 42,444 "," 45,692 "," (3,248)"," 34,985 "," 40,670 "," (5,685)"," 7,459 "," 5,022 "," 3,018 ", 58 
"Columbia, MO Total"," 174,974 "," 41,125 "," 36,200 "," 4,925 "," 39,782 "," 37,343 "," 2,439 "," 1,343 "," (1,143)", 685 , 255 
"Dover, DE Total"," 173,533 "," 33,351 "," 36,991 "," (3,640)"," 35,525 "," 32,134 "," 3,391 "," (2,174)"," 4,857 ", 586 , 296 
"Punta Gorda, FL Total"," 173,115 "," 33,445 "," 60,218 "," (26,773)"," 35,896 "," 47,988 "," (12,092)"," (2,451)"," 12,230 ", 680 , 254 
"Muskegon, MI Total"," 172,790 "," 37,304 "," 36,127 "," 1,177 "," 44,436 "," 30,882 "," 13,554 "," (7,132)"," 5,245 ", 499 , 346 
"Terre Haute, IN Total"," 171,019 "," 22,431 "," 41,119 "," (18,688)"," 29,507 "," 34,761 "," (5,254)"," (7,076)"," 6,358 "," 1,465 ", 117 
