id,Geographic Area Name,Estimate!!SEX AND AGE!!Total population,Estimate!!SEX AND AGE!!Total population!!Male,Estimate!!SEX AND AGE!!Total population!!Female,Estimate!!SEX AND AGE!!Under 5 years,Estimate!!SEX AND AGE!!5 to 9 years,Estimate!!SEX AND AGE!!10 to 14 years,Estimate!!SEX AND AGE!!15 to 19 years,Estimate!!SEX AND AGE!!20 to 24 years,Estimate!!SEX AND AGE!!25 to 34 years,Estimate!!SEX AND AGE!!35 to 44 years,Estimate!!SEX AND AGE!!45 to 54 years,Estimate!!SEX AND AGE!!55 to 59 years,Estimate!!SEX AND AGE!!60 to 64 years,Estimate!!SEX AND AGE!!65 to 74 years,Estimate!!SEX AND AGE!!75 to 84 years,Estimate!!SEX AND AGE!!85 years and over,Estimate!!SEX AND AGE!!Median age (years),Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!21 years and over,Estimate!!SEX AND AGE!!62 years and over,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!18 years and over,Estimate!!SEX AND AGE!!18 years and over!!Male,Estimate!!SEX AND AGE!!18 years and over!!Female,Estimate!!SEX AND AGE!!65 years and over,Estimate!!SEX AND AGE!!65 years and over!!Male,Estimate!!SEX AND AGE!!65 years and over!!Female
0500000US55059,"Kenosha County, Wisconsin",168183,82871,85312,9756,10898,11683,12153,12017,20713,20116,25703,11758,11483,12559,6751,2593,39,128731,121452,28557,21903,128731,62821,65910,21903,9512,12391
0500000US55063,"La Crosse County, Wisconsin",118122,56961,61161,6940,5937,6649,9140,14084,15601,12997,13649,8280,6624,10189,5246,2786,35.5,94565,86437,21911,18221,94565,45372,49193,18221,8083,10138
0500000US55071,"Manitowoc County, Wisconsin",79536,39441,40095,4237,5413,4071,4529,4418,8529,8988,11200,6308,6448,8391,5322,1682,44.6,63003,60552,18753,15395,63003,31007,31996,15395,6934,8461
0500000US55073,"Marathon County, Wisconsin",135603,67858,67745,7815,9505,8399,8645,7983,15803,16016,19203,10023,9268,12875,6969,3099,40.8,104515,99868,28335,22943,104515,52427,52088,22943,10644,12299
0500000US55079,"Milwaukee County, Wisconsin",951448,460687,490761,66573,66081,61440,63154,67767,155894,120143,114781,62840,52359,67833,32440,20143,34.7,720314,678726,151173,120416,720314,343051,377263,120416,50712,69704
0500000US55087,"Outagamie County, Wisconsin",184526,91828,92698,11265,12873,12185,12473,11230,24488,23363,26695,13055,11532,14765,6750,3852,38.2,140535,134112,32011,25367,140535,68732,71803,25367,11185,14182
0500000US55089,"Ozaukee County, Wisconsin",88314,42960,45354,4606,4153,6545,6384,5376,8716,9937,12523,7392,6113,9145,4959,2465,44,69174,65249,20056,16569,69174,33224,35950,16569,7401,9168
0500000US55097,"Portage County, Wisconsin",70447,34966,35481,3661,3564,4009,5495,8482,8491,7480,8792,4734,4746,6404,3512,1077,36.6,56962,51674,14215,10993,56962,28416,28546,10993,5139,5854
0500000US55101,"Racine County, Wisconsin",195140,96418,98722,12043,13231,12073,12571,12352,23514,23114,28027,15527,11696,18215,8815,3962,40,149612,142297,37524,30992,149612,73248,76364,30992,13906,17086
0500000US55105,"Rock County, Wisconsin",161620,79531,82089,9712,10896,11214,10123,10243,19491,18833,23278,11241,10917,14806,7917,2949,40.1,123395,117236,31810,25672,123395,59538,63857,25672,11266,14406
0500000US55109,"St. Croix County, Wisconsin",88029,43967,44062,5270,7867,5135,6005,4366,10217,12251,13208,6637,5430,7090,3301,1252,38.3,65625,62702,14572,11643,65625,32670,32955,11643,5476,6167
0500000US55117,"Sheboygan County, Wisconsin",115427,58200,57227,6378,8380,6173,7597,6257,13273,14453,15925,8283,8588,11001,6389,2730,41.5,89465,85395,24682,20120,89465,44749,44716,20120,9023,11097
0500000US55127,"Walworth County, Wisconsin",102959,51364,51595,5389,6099,6769,7134,10114,10716,11499,14017,8883,5662,9869,4690,2118,39.9,80806,74649,20073,16677,80806,39826,40980,16677,7688,8989
0500000US55131,"Washington County, Wisconsin",134296,66215,68081,7418,9258,8228,8427,6658,13960,16464,21031,11312,8818,12892,6017,3813,42.9,103890,99544,28282,22722,103890,51232,52658,22722,10198,12524
0500000US55133,"Waukesha County, Wisconsin",398424,195314,203110,19808,22828,27058,27026,21513,41653,47853,58977,33379,28256,38977,21460,9636,43.2,311352,297818,85130,70073,311352,151158,160194,70073,31082,38991
0500000US55139,"Winnebago County, Wisconsin",169886,86078,83808,9120,9777,9798,11327,15583,21888,19925,23313,12679,9996,14754,8560,3166,38.6,134955,126678,32669,26480,134955,68040,66915,26480,11774,14706
0500000US55141,"Wood County, Wisconsin",73107,35526,37581,3878,4140,4780,4129,3960,8451,7960,10311,7022,4258,7747,4269,2202,44.1,57586,55780,16823,14218,57586,27918,29668,14218,6280,7938
0500000US56021,"Laramie County, Wyoming",98136,50128,48008,6421,7532,5371,5918,5655,16097,10820,12700,6542,6253,8593,4232,2002,36.4,75246,71548,19136,14827,75246,38442,36804,14827,6816,8011
0500000US56025,"Natrona County, Wyoming",81039,39821,41218,4873,5483,5647,6104,4939,11947,10590,9360,6304,4834,6449,2912,1597,36,61189,57359,13730,10958,61189,30202,30987,10958,4770,6188
0500000US72013,"Arecibo Municipio, Puerto Rico",87939,42144,45795,4029,4200,5350,5958,6217,10572,11014,11935,6060,4659,9995,6330,1620,42.8,70767,66735,20486,17945,70767,33263,37504,17945,7648,10297
0500000US72021,"Bayamón Municipio, Puerto Rico",184374,87165,97209,8195,9757,9858,12066,13081,25124,22176,23549,11374,11711,18992,13344,5147,41.2,149442,141772,44471,37483,149442,69105,80337,37483,15323,22160
0500000US72025,"Caguas Municipio, Puerto Rico",132164,61485,70679,5902,6677,8822,8973,9151,16574,17191,17710,8684,7547,13714,7606,3613,40.7,105315,100264,29409,24933,105315,47776,57539,24933,10187,14746
